,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,29,46,-0.2266666636444445,0.06334459454109409,13.833333333333334,0.535681186283596,5.747605807846772,13.833333333333334,578,1078,2.799627213420317,17,7.51948051948052
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,44,23,0.3134328311427936,0.06713426846980534,13.506666666666666,0.42546890424481737,5.572854228364594,13.506666666666666,431,1005,2.5365111561866125,19,6.684577114427861
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,36,26,0.16129031997918838,0.06037000967831547,12.767123287671232,0.43240343347639487,5.279810688459051,12.767123287671232,403,929,2.502202643171806,17,6.673842841765339
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,26,5,0.677419332986473,0.05636363626115703,7.084507042253521,0.4711729622266402,3.0222720017920643,7.084507042253521,237,494,2.589430894308943,1,6.935222672064778
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,45,8,0.6981131943752228,0.06408706159118856,12.774193548387096,0.4595959595959596,5.293515803193223,12.774193548387096,364,789,2.503846153846154,5,6.718631178707224
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,33,6,0.6923076745562136,0.1089385471817359,16.714285714285715,0.5014245014245015,6.886284086284087,16.714285714285715,176,349,2.7220630372492836,9,7.017191977077364
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,45,15,0.4999999916666668,0.05434782603772841,14.36111111111111,0.5087040618955513,5.947926069202666,14.36111111111111,526,1031,2.712745098039216,8,7.028128031037827
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,25,70,-0.47368420554016627,0.14415781465226432,8.432432432432432,0.47275641025641024,3.562075537075537,8.432432432432432,295,618,2.570048309178744,12,6.86084142394822
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,58,22,0.4499999943750001,0.11157601100198604,8.87012987012987,0.3850658857979502,3.7020783023711283,8.87012987012987,263,678,2.3807407407407406,6,6.563421828908554
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,25,32,-0.12280701538935061,0.07744565206868798,13.666666666666666,0.3830703012912482,5.619894787183166,13.666666666666666,267,696,2.361069836552749,1,6.498563218390805
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,25,21,0.08695651984877131,0.05808080800747373,10.041666666666666,0.5131396957123098,4.221922544951591,10.041666666666666,371,719,2.720505617977528,7,7.3449235048678725
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,24,73,-0.5051546339674781,0.14327917260963194,9.214285714285714,0.47751937984496123,3.87672203765227,9.214285714285714,308,637,2.5585023400936038,14,6.846153846153846
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,23,11,0.35294116608996573,0.06563706551035316,12.552631578947368,0.47379454926624737,5.210570451285446,12.552631578947368,226,476,2.534782608695652,6,6.857142857142857
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,11,6,0.2941176297577865,0.05610561037588908,18.333333333333332,0.4727272727272727,7.5224242424242425,18.333333333333332,130,275,2.6988847583643123,1,7.170909090909091
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,17,0.2444444390123458,0.07627118631140477,19.535714285714285,0.4826325411334552,8.007338730739097,19.535714285714285,264,547,2.6486988847583643,1,7.212065813528336
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,24,29,-0.0943396208615166,0.062352941103114186,12.838709677419354,0.47613065326633164,5.325936132274275,12.838709677419354,379,792,2.5716129032258066,6,6.945707070707071
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,37,11,0.5416666553819447,0.017738359195218642,8.952569169960475,0.3995584988962472,3.740851067542689,8.952569169960475,905,2263,2.375543740937651,1,6.306230667255855
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,38,42,-0.04999999937500001,0.07421150271408951,11.772727272727273,0.4951737451737452,4.907160407160408,11.772727272727273,513,1031,2.6098522167487683,11,7.025218234723569
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,31,64,-0.34736841739612195,0.08543165459943196,15.238805970149254,0.5612144955925563,6.320008186296725,15.238805970149254,573,1021,2.7517517517517516,1,7.262487757100882
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,6,1,0.7142856122449125,0.03414634129684711,17.272727272727273,0.5052631578947369,7.111196172248805,17.272727272727273,96,189,2.8378378378378377,3,7.333333333333333
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,31,4,0.7714285493877557,0.05460218400218068,14.166666666666666,0.4672268907563025,5.853557422969188,14.166666666666666,278,592,2.5163511187607575,2,6.72972972972973
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,37,34,0.04225352053164056,0.06981317593922008,8.459016393442623,0.45930232558139533,3.5673274876096075,8.459016393442623,474,1022,2.5591397849462365,6,6.946183953033268
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,55,15,0.5714285632653062,0.06261180674184989,11.666666666666666,0.4876190476190476,4.861714285714285,11.666666666666666,512,1046,2.5471331389698735,6,6.897705544933078
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,33,33,0.0,0.08753315638258202,14.117647058823529,0.44583333333333336,5.825392156862745,14.117647058823529,321,715,2.559659090909091,4,6.8895104895104895
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,19,44,-0.3968253905265811,0.05163934421996775,14.435897435897436,0.4822380106571936,5.967254178621852,14.435897435897436,543,1126,2.71115347950429,2,7.073712255772646
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,19,40,-0.3559321973570814,0.08464849342231207,12.245283018867925,0.4745762711864407,5.087943716021747,12.245283018867925,308,649,2.6386687797147386,4,7.029275808936826
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,39,48,-0.10344827467300834,0.11254851214418045,9.868421052631579,0.468,4.134568421052632,9.868421052631579,351,745,2.557640750670241,28,6.804026845637584
29,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,27,27,0.0,0.07871720105143265,17.4390243902439,0.47692307692307695,7.166378986866791,17.4390243902439,341,713,2.6198581560283687,13,6.906030855539972
30,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,19,37,-0.32142856568877565,0.061403508704601414,12.424242424242424,0.4878048780487805,5.164818920916482,12.424242424242424,400,817,2.7840616966580978,3,7.381884944920441
31,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,7,3,0.39999996000000404,0.043478260680529304,16.53846153846154,0.4930232558139535,6.812593917710197,16.53846153846154,106,214,2.7681159420289854,3,7.11214953271028
32,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,31,46,-0.19480519227525725,0.09974093251328894,11.444444444444445,0.4521497919556172,4.758637694560025,11.444444444444445,326,717,2.4921985815602836,12,6.7656903765690375
33,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,11,24,-0.37142856081632686,0.0634057969865837,12.789473684210526,0.4732510288065844,5.305089885206844,12.789473684210526,230,481,2.6769230769230767,5,7.014553014553014
34,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,31,54,-0.2705882321107267,0.10732323218772319,13.589285714285714,0.49540078843626806,5.633874601088793,13.589285714285714,377,761,2.683578104138852,3,7.206307490144547
35,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,24,34,-0.17241379013079672,0.08828006074843217,14.454545454545455,0.470125786163522,5.969868496283591,14.454545454545455,299,635,2.5453100158982513,6,6.814173228346457
36,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,4,0,0.9999997500000625,0.016260162535527794,23.555555555555557,0.5424528301886793,9.639203354297695,23.555555555555557,115,212,2.7333333333333334,1,7.419811320754717
37,74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,16,2,0.7777777345679036,0.04054054044923302,12.352941176470589,0.4238095238095238,5.110700280112045,12.352941176470589,178,417,2.524154589371981,3,6.800959232613909
38,75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,32,52,-0.238095235260771,0.12371134002398919,16.675675675675677,0.5056726094003241,6.872539314030401,16.675675675675677,312,617,2.6799336650082917,4,7.288492706645057
39,76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,32,24,0.1428571403061225,0.12389380503563317,13.0,0.34945054945054943,5.33978021978022,13.0,159,453,2.368888888888889,38,6.403973509933775
40,77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,8,36,-0.6363636219008268,0.056701030854766715,13.11111111111111,0.4901129943502825,5.440489642184557,13.11111111111111,347,708,2.6451612903225805,1,7.200564971751413
41,78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,16,29,-0.28888888246913597,0.06320224710224404,12.071428571428571,0.5103550295857988,5.0327134404057485,12.071428571428571,345,674,2.6800595238095237,1,7.3026706231454
42,79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,28,51,-0.29113923682102233,0.09987357762342151,12.909090909090908,0.5,5.363636363636363,12.909090909090908,355,709,2.656160458452722,2,7.218617771509168
43,80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,19,21,-0.04999999875000003,0.06956521727032136,14.512820512820513,0.4823321554770318,5.998061067319018,14.512820512820513,273,565,2.5693950177935942,8,7.012389380530974
44,81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,51,47,0.040816326114119124,0.09570312490653991,12.320512820512821,0.45265348595213317,5.109266522585982,12.320512820512821,435,957,2.5219251336898396,3,6.750261233019854
45,82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,24,39,-0.23809523431594867,0.058333333279320984,13.526315789473685,0.48151750972762647,5.603133319680524,13.526315789473685,495,1028,2.6232948583420774,3,6.779182879377432
46,83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,27,25,0.03846153772189351,0.09647495343882198,20.17241379310345,0.305982905982906,8.191358679634542,20.17241379310345,179,585,2.2245989304812834,43,5.970940170940171
47,84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,39,65,-0.24999999759615388,0.08630705387028459,15.054794520547945,0.48043676069153773,6.214092512495793,15.054794520547945,528,1097,2.6042830540037243,8,7.12306289881495
48,85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,36,52,-0.18181817975206616,0.11443433015028046,9.197530864197532,0.40134228187919463,3.839549258430691,9.197530864197532,299,736,2.4208389715832204,8,6.448369565217392
49,86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,11,14,-0.11999999520000018,0.0712250710221508,13.041666666666666,0.5079872204472844,5.419861554845581,13.041666666666666,159,313,2.880952380952381,2,7.562300319488818
50,87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,49,91,-0.2999999978571429,0.08843967145392313,14.33,0.4584787159804606,5.915391486392185,14.33,657,1430,2.4978070175438596,7,6.8
51,88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,37,64,-0.267326730026468,0.12317073155710886,12.838235294117647,0.38717067583046966,5.290162387979247,12.838235294117647,338,866,2.3483796296296298,35,6.349884526558891
52,89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,36,66,-0.2941176441753172,0.0868824530776129,10.696078431372548,0.45646196150320806,4.461016157150303,10.696078431372548,498,1087,2.5319961795606494,13,6.699172033118675
53,90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,43,78,-0.2892561959565604,0.1047619046712018,13.792682926829269,0.47303271441202477,5.706286256496518,13.792682926829269,535,1129,2.5710407239819006,8,6.879539415411869
54,91,https://insights.blackcoffer.com/human-rights-outlook/,23,41,-0.2812499956054688,0.08556149721181618,11.677966101694915,0.46153846153846156,4.8558018252933515,11.677966101694915,318,686,2.6319875776397517,8,6.809037900874635
55,92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,60,17,0.5584415511890708,0.06275468617542405,16.62121212121212,0.5132178669097539,6.853771995248751,16.62121212121212,563,1095,2.711484593837535,3,7.238356164383561
56,93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,19,24,-0.11627906706327752,0.066874027889776,16.194444444444443,0.47855917667238423,6.6692014484467315,16.194444444444443,279,582,2.6392857142857142,4,7.0034364261168385
57,94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,38,83,-0.37190082337272046,0.12723448987672503,13.415384615384616,0.47706422018348627,5.556979534227241,13.415384615384616,416,868,2.655253837072019,7,7.057603686635945
58,95,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,11,17,-0.21428570663265334,0.09364548463663717,14.0,0.518796992481203,5.807518796992482,14.0,138,265,2.768939393939394,3,7.479245283018868
59,96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,8,6,0.14285713265306196,0.031460674086605224,13.89655172413793,0.49627791563275436,5.757131855908274,13.89655172413793,200,403,2.7698412698412698,2,7.124069478908188
60,97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,26,57,-0.3734939714036871,0.0679214402062836,20.509090909090908,0.42907801418439717,8.375267569310124,20.509090909090908,484,1128,2.7137614678899085,3,7.1072695035460995
61,98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,84,32,0.4482758582045185,0.09570957087812741,14.75,0.48617305976806424,6.094469223907225,14.75,545,1116,2.5927601809954752,1,7.051075268817204
62,99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,30,22,0.15384615088757403,0.05273833666050878,12.955223880597014,0.4838709677419355,5.37563793933558,12.955223880597014,420,866,2.6967895362663494,7,7.143187066974596
63,100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,29,19,0.20833332899305565,0.08347826072438563,17.096774193548388,0.5792452830188679,7.070407790626902,17.096774193548388,307,530,2.8582375478927204,1,7.569811320754717
64,101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,10,10,0.0,0.054200541858535116,20.466666666666665,0.5374592833876222,8.401650380021715,20.466666666666665,165,306,2.881188118811881,5,7.46078431372549
65,102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,9,7,0.12499999218750048,0.05063291123217433,15.15,0.40924092409240925,6.223696369636964,15.15,124,302,2.5150501672240804,8,6.7052980132450335
66,103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,3,16,-0.684210490304711,0.05491329463897892,15.947368421052632,0.5412541254125413,6.59544901858607,15.947368421052632,164,303,2.8253424657534247,5,7.458745874587459
67,104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,7,7,0.0,0.04861111094232253,17.785714285714285,0.46987951807228917,7.3022375215146305,17.785714285714285,117,249,2.7468354430379747,4,7.0120481927710845
68,105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,8,11,-0.15789472853185638,0.07116104842261779,12.35,0.5668016194331984,5.166720647773279,12.35,140,247,2.906122448979592,7,7.562753036437247
69,106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,11,3,0.5714285306122479,0.05243445673245522,11.736842105263158,0.4798206278026906,4.886665093226339,11.736842105263158,107,223,2.859903381642512,1,7.20627802690583
70,107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,17,51,-0.49999999264705897,0.09840810405440216,12.320754716981131,0.45329249617151607,5.109618885261059,12.320754716981131,296,653,2.5637254901960786,1,6.742725880551301
71,108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,8,20,-0.4285714132653067,0.07179487161078238,17.61904761904762,0.46216216216216216,7.2324839124839135,17.61904761904762,171,367,2.6100278551532035,4,6.959128065395095
72,109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,40,69,-0.2660550434306877,0.09038142612737858,13.022988505747126,0.5163283318623124,5.415726735043775,13.022988505747126,585,1132,2.7118023787740166,1,7.053886925795053
73,110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,8,24,-0.49999998437500054,0.0670859537377653,12.216216216216216,0.48008849557522126,5.078521884716576,12.216216216216216,217,451,2.618834080717489,2,7.128603104212861
74,111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,14,11,0.11999999520000018,0.048923678964924305,13.342105263157896,0.5009861932938856,5.537236582580713,13.342105263157896,254,504,2.6262425447316105,3,7.392857142857143
75,112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,24,27,-0.05882352825836219,0.07750759866640182,10.948275862068966,0.494488188976378,4.577105620418138,10.948275862068966,314,633,2.6549520766773163,10,7.431279620853081
76,113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,38,12,0.5199999896000003,0.061199510329009166,12.982758620689655,0.5033200531208499,5.394431469524203,12.982758620689655,379,753,2.6684782608695654,2,7.126162018592297
77,114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,29,46,-0.2266666636444445,0.08917954805091612,10.077922077922079,0.5270618556701031,4.241993573436873,10.077922077922079,409,776,2.6527415143603132,3,6.985824742268041
78,115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,32,3,0.8285714048979599,0.07625272314541891,14.5,0.5724137931034483,6.02896551724138,14.5,249,433,2.8770301624129933,1,7.789838337182448
79,116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,36,41,-0.06493506409175241,0.10476190461937156,10.18840579710145,0.4779516358463727,4.266542973179129,10.18840579710145,336,700,2.6131805157593124,9,7.0042857142857144
80,117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,69,31,0.3799999962,0.07547169805624777,15.197530864197532,0.5572705117790414,6.30192055039063,15.197530864197532,686,1231,2.802315963606286,2,7.430544272948822
81,118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,60,36,0.24999999739583337,0.10147991532613117,11.783783783783784,0.4518348623853211,4.8942474584676425,11.783783783783784,394,867,2.526806526806527,7,6.738177623990773
82,119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,68,37,0.2952380924263039,0.0894378193446015,12.370786516853933,0.5649409627611263,5.174290991846024,12.370786516853933,622,1096,2.782967032967033,3,7.4260948905109485
83,120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,66,22,0.4999999943181819,0.09034907588259848,11.275862068965518,0.4444444444444444,4.6881226053639855,11.275862068965518,436,976,2.577800829875519,18,6.69672131147541
84,121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,60,23,0.44578312715923946,0.07255244748902757,12.694117647058823,0.46246524559777574,5.2626331570626395,12.694117647058823,499,1071,2.5845272206303727,13,6.940242763772176
85,122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,47,22,0.36231883532871256,0.0814639904587202,13.203389830508474,0.4749679075738126,5.471343095232915,13.203389830508474,370,774,2.57012987012987,19,7.0
86,123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,29,12,0.4146341362284357,0.07068965505053508,10.52,0.48098859315589354,4.4003954372623575,10.52,253,522,2.596116504854369,8,7.040229885057471
87,124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,40,13,0.5094339526521896,0.09906542037557865,12.7,0.4468503937007874,5.2587401574803145,12.7,227,507,2.4549098196392785,3,6.72189349112426
88,125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,69,39,0.27777777520576136,0.08017817365985287,14.422222222222222,0.48536209553158705,5.963033727101524,14.422222222222222,630,1292,2.653605015673981,10,6.868421052631579
89,126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,49,61,-0.10909090809917356,0.07896625981409457,11.528846153846153,0.4653878231859883,4.797693590812857,11.528846153846153,558,1192,2.5146935348446684,2,6.902684563758389
90,127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,39,20,0.32203389284688316,0.07160194166067725,13.305084745762711,0.554140127388535,5.543689949260499,13.305084745762711,435,782,2.829923273657289,9,7.554987212276215
91,128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,33,28,0.08196721177102932,0.06703296695930443,11.03896103896104,0.45529411764705885,4.597702062643239,11.03896103896104,387,849,2.5943970767356883,7,6.705535924617196
92,129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,61,23,0.45238094699546494,0.09312638570606831,11.725,0.48294243070362475,4.883176972281451,11.725,453,935,2.6247311827956987,33,6.974331550802139
93,130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,67,21,0.5227272667871902,0.08486017349579539,11.494117647058824,0.49129989764585463,4.794167017881871,11.494117647058824,480,974,2.7025052192066807,12,7.087268993839836
94,131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,28,0,0.9999999642857155,0.06167400867472685,16.03846153846154,0.5539568345323741,6.636967349197566,16.03846153846154,231,417,2.861985472154964,1,7.482014388489208
95,132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,83,39,0.3606557347487235,0.1307609859263012,87.58333333333333,0.44814462416745954,35.21259118300031,87.58333333333333,471,1051,2.5063168124392616,16,6.621313035204567
96,133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,20,0,0.9999999500000024,0.036036035971106245,10.653061224489797,0.5459770114942529,4.4796152943936205,10.653061224489797,285,520,2.753875968992248,1,7.365384615384615
97,134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,17,6,0.4782608487712674,0.04049295767518846,11.511111111111111,0.5656370656370656,4.830699270699271,11.511111111111111,293,518,2.8133595284872297,1,7.754826254826255
98,135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,3,3,0.0,0.026200873248031123,20.272727272727273,0.5426008968609866,8.326131267835304,20.272727272727273,121,223,2.8136363636363635,3,7.57847533632287
99,136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,27,69,-0.4374999954427084,0.1013727559647595,14.306451612903226,0.5107102593010147,5.926864748881696,14.306451612903226,453,882,2.615650172612198,3,7.019274376417234
100,137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,20,15,0.14285713877551032,0.0626118066858465,14.38888888888889,0.47104247104247104,5.943972543972545,14.38888888888889,244,518,2.6307385229540916,4,6.913127413127413
101,138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,58,38,0.20833333116319447,0.0832610580370676,11.368421052631579,0.46111111111111114,4.7318128654970755,11.368421052631579,498,1075,2.596622889305816,10,6.934883720930233
102,139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,42,3,0.8666666474074078,0.08806262213686375,9.83673469387755,0.5394190871369294,4.150461512405792,9.83673469387755,260,482,2.710970464135021,5,7.29253112033195
103,140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,8,1,0.7777776913580343,0.025139664734246746,16.238095238095237,0.45454545454545453,6.677056277056277,16.238095238095237,155,341,2.633136094674556,1,6.903225806451613
104,141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,25,7,0.5624999824218756,0.05342237052851023,14.538461538461538,0.47795414462081126,6.006566273232941,14.538461538461538,271,565,2.550541516245487,5,6.755752212389381
105,142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,16,8,0.333333319444445,0.0545454544214876,15.68,0.5,6.472,15.68,196,391,2.831168831168831,2,7.281329923273657
106,143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,18,8,0.3846153698224858,0.07951070312076237,9.625,0.525974025974026,4.060389610389611,9.625,162,305,2.8529411764705883,1,7.521311475409836
108,145,https://insights.blackcoffer.com/blockchain-in-fintech/,8,0,0.9999998750000157,0.03478260854442344,14.642857142857142,0.5609756097560976,6.081533101045296,14.642857142857142,115,205,2.9211822660098523,3,7.770731707317073
109,146,https://insights.blackcoffer.com/blockchain-for-payments/,26,37,-0.17460317183169569,0.10641891873915724,9.203389830508474,0.4162062615101289,3.847838436807441,9.203389830508474,226,536,2.4925925925925925,14,6.667910447761194
110,147,https://insights.blackcoffer.com/the-future-of-investing/,11,2,0.6923076390532585,0.05627705603343266,15.571428571428571,0.5137614678899083,6.434076015727392,15.571428571428571,112,217,2.7488372093023257,2,7.225806451612903
111,148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,36,10,0.5652173790170135,0.08185053366218767,11.75,0.5822050290135397,4.932882011605416,11.75,301,517,2.925196850393701,1,7.6189555125725335
112,149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,4,7,-0.2727272479338866,0.052884615130362425,16.166666666666668,0.5103092783505154,6.670790378006874,16.166666666666668,99,192,2.7526315789473683,5,7.307291666666667
113,150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,12,25,-0.35135134185536915,0.12131147501209352,12.708333333333334,0.46885245901639344,5.270874316939891,12.708333333333334,143,296,2.642384105960265,6,7.114864864864865
